# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,Samsung Galaxy Player,0,12,0,21,12,0,0,0
20120505,Xperia,0,0,0,1,0,0,0,0
20120505,XT531,0,0,0,1,0,0,0,0
20120505,XT530,0,2,0,2,2,0,0,0
20120505,XT502,0,0,0,2,0,0,0,0
20120505,XT5,0,1,0,1,1,0,0,0
20120505,X8,0,2,0,7,2,0,0,0
20120505,ZTE X500,1,5,1,48,5,1,1,0
20120505,SEMC Xperia X10,0,18,0,52,18,1,1,0
20120505,SEMC Xperia X10,0,1,0,10,1,0,0,0
20120505,X10,0,0,0,1,0,0,0,0
20120505,SEMC Xperia Live,0,11,0,27,11,0,0,0
20120505,WT19a,0,0,0,2,0,0,0,0
20120505,W851,0,2,0,2,2,0,0,0
20120505,ViewPad97a,0,0,0,1,0,0,0,0
20120505,Vizio VTAB1008,0,32,0,70,31,0,0,0
20120505,VS920,0,2,0,9,2,1,1,0
20120505,LG Gelato,0,3,0,17,3,0,0,0
20120505,VM701,0,4,0,9,4,0,0,0
20120505,V71A,0,0,0,1,0,0,0,0
20120505,V55,0,0,0,1,0,0,0,0
20120505,V11A,0,3,0,3,3,0,0,0
20120505,SEMC Xperia X10 Mini Pro,0,0,0,2,0,0,0,0
20120505,Triumph,0,10,0,22,10,0,0,0
20120505,TabletPC,0,1,0,1,1,0,0,0
20120505,Tablet,0,2,0,1,0,0,0,0
20120505,TR810,0,0,0,1,0,0,0,0
20120505,TR719,0,0,0,1,0,0,0,0
20120505,TF300T,0,2,0,3,2,0,0,0
20120505,TF201,2,108,2,146,102,1,1,0
20120505,TF101G,1,14,0,23,14,0,0,0
20120505,Asus EeePad Transformer TF101,2,257,2,405,242,0,0,0
20120505,T1001,0,0,0,1,0,0,0,0
20120505,SuoaiY,0,1,0,1,1,0,0,0
20120505,SonyEricssonE15a,0,0,0,1,0,0,0,0
20120505,STTab,0,0,0,2,0,0,0,0
20120505,STM803HC,0,8,0,10,8,0,0,0
20120505,STM722HZ,0,2,0,2,2,0,0,0
20120505,STM722HCZ,0,1,0,1,1,0,0,0
20120505,SEMC Xperia Ray,0,16,0,44,16,0,0,0
20120505,ST18a,0,1,0,1,1,0,0,0
20120505,ST17i,0,3,0,7,3,0,0,0
20120505,SEMC Xperia Mini,0,6,0,18,6,0,0,0
20120505,Samsung Galaxy Tab,0,13,0,22,13,0,0,0
20120505,SPH-M930BST,0,0,0,3,0,0,0,0
20120505,SPH-M930,0,0,0,3,0,0,0,0
20120505,Samsung Transform(M920),0,1,0,3,1,0,0,0
20120505,Samsung VinsQ(M910),0,4,0,25,3,0,0,0
20120505,Samsung Moment,0,0,0,7,0,0,0,0
20120505,Samsung Galaxy Prevail,0,4,0,47,4,1,1,0
20120505,Samsung Galaxy S2,0,36,0,73,36,1,1,0
20120505,Samsung Galaxy S,0,19,0,60,18,0,0,0
20120505,SPH-D600,0,5,0,20,5,0,0,0
20120505,SO-03C,0,1,0,1,1,0,0,0
20120505,SO-02D,0,1,0,2,1,0,0,0
20120505,SEMC Xperia Arc,0,1,0,4,1,0,0,0
20120505,SEMC Xperia X10,0,0,0,1,0,0,0,0
20120505,SMARTPAD810C,0,0,0,2,0,0,0,0
20120505,Asus EeePad Slider SL101,0,16,0,24,16,0,0,0
20120505,SEMC Xperia Mini Pro,0,18,0,42,18,0,0,0
20120505,SK17a,0,2,0,7,2,0,0,0
20120505,Sharp INFOBAR A01,0,1,0,1,1,0,0,0
20120505,Samsung Galaxy Tab 10.1,0,1,0,2,1,0,0,0
20120505,Samsung Galaxy Tab 10.1,0,1,0,1,1,0,0,0
20120505,Samsung Galaxy Tab 10.1,0,1,0,1,1,0,0,0
20120505,Samsung Galaxy S2,0,3,0,12,3,0,0,0
20120505,Samsung Galaxy S2,0,2,0,6,2,0,0,0
20120505,Samsung Galaxy S2,0,1,0,7,1,0,0,0
20120505,Samsung Galaxy Neo,0,0,0,1,0,0,0,0
