# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,BPL Mobile Communications Ltd.,0,2,0,4,2,0,0,0
20120505,BPL Cellular Ltd.,0,1,0,8,1,0,0,0
20120505,BCP,1,3,1,21,3,0,0,0
20120505,Azerphone LLC,0,0,0,1,0,0,0,0
20120505,Azercell Limited Liability Joint Venture,0,1,0,3,1,0,0,0
20120505,Aycell,0,0,0,2,0,0,0,0
20120505,Astelit,0,6,0,14,6,0,0,0
20120505,Aria,0,6,0,17,5,1,1,0
20120505,Android Emulator,0,0,0,11,0,0,0,0
20120505,Ancel,0,1,0,4,1,0,0,0
20120505,Amena,0,24,0,59,23,1,1,0
20120505,Alltel Communications Inc.,0,0,0,3,0,0,0,0
20120505,Algérie Telecom,0,1,0,2,1,0,0,0
20120505,Alfa,0,2,0,7,2,0,0,0
20120505,Aircell Digilink India Ltd.,0,0,0,1,0,0,0,0
20120505,Aircel Ltd.,0,1,0,2,1,0,0,0
20120505,Airadigm Communications,0,0,0,1,0,0,0,0
20120505,AirTel - Karnataka,0,3,0,16,3,0,0,0
20120505,ATL Algar,1,16,1,35,16,0,0,0
20120505,AT&T,1,229,1,629,222,1,1,0
20120505,AN Subsidiary LLC,0,0,0,1,0,0,0,0
20120505,AIS GSM,0,6,0,10,6,0,0,0
20120505,ACS Wireless Inc.,0,1,0,2,1,0,0,0
20120505,A1,1,2,1,9,1,1,1,0
20120505,3G Radio System/Sunday3G,0,3,0,7,3,0,0,0
20120505,3,0,5,0,9,5,0,0,0
20120504,unknown,0,0,0,14,0,0,0,0
20120504,swisscom,0,13,0,25,12,0,0,0
20120504,o2,0,49,0,96,47,0,0,0
20120504,nTelos,0,9,0,68,9,0,0,0
20120504,life:),0,0,0,1,0,0,0,0
20120504,au,1,20,1,32,20,0,0,0
20120504,Xfera,0,12,0,31,12,0,0,0
20120504,Wind,0,27,0,75,27,0,0,0
20120504,West Central Wireless,0,0,0,2,0,0,0,0
20120504,Wataniya Telecom,0,4,0,8,4,0,0,0
20120504,WIND Mobile,0,2,0,5,1,0,0,0
20120504,Voxmobile S.A.,0,1,0,2,1,0,0,0
20120504,Vodafone - RO,0,7,0,28,7,0,0,0
20120504,Vodafone - PT,0,8,0,12,8,0,0,0
20120504,Vodafone - NZ,0,10,0,13,10,0,0,0
20120504,Vodafone - NL,1,16,1,38,16,0,0,0
20120504,Vodafone - MT,0,0,0,1,0,0,0,0
20120504,Vodafone - IT,3,34,3,91,32,2,2,0
20120504,Vodafone - IE,0,5,0,10,5,0,0,0
20120504,Vodafone - HU,0,3,0,8,3,0,0,0
20120504,Vodafone - GR,0,2,0,8,2,0,0,0
20120504,Vodafone - GB,1,33,1,78,31,0,0,0
20120504,Vodafone - ES,1,23,1,69,23,0,0,0
20120504,Vodafone - EG,0,3,0,6,3,0,0,0
20120504,Vodafone - DE,0,35,0,82,35,0,0,0
20120504,Vodafone - CZ,0,7,0,17,7,0,0,0
20120504,Vodafone - AU,0,12,0,45,12,0,0,0
20120504,Vodacom,0,17,0,32,17,0,0,0
20120504,Virgin Mobile,1,24,1,111,23,1,1,0
20120504,Vip mobile d.o.o.,0,2,0,3,2,0,0,0
20120504,Vinaphone,0,0,0,1,0,0,0,0
20120504,Viettel,0,0,0,3,0,0,0,0
20120504,Verizon Wireless,7,458,6,1136,441,3,3,0
20120504,VIPnet/VIPnet d.o.o.,0,3,0,8,3,0,0,0
20120504,VIBO Telecom,0,0,0,1,0,0,0,0
20120504,Uzdunrobita,0,1,0,1,1,0,0,0
20120504,Usha Martin Telecom Ltd.,0,0,0,1,0,0,0,0
20120504,Umniah,0,0,0,1,0,0,0,0
20120504,Ukrtelecom,0,2,0,4,2,0,0,0
20120504,"Ukrainian Mobile Communication, UMC",0,6,0,18,6,0,0,0
20120504,UNKNOWN,28,1963,23,4045,1865,8,8,0
20120504,U.S. Cellular,2,27,2,64,27,0,0,0
20120504,Tusmobil d.o.o.,0,0,0,2,0,0,0,0
20120504,Turkcell,0,12,0,30,12,0,0,0
20120504,Tunisie Telecom,0,3,0,4,3,0,0,0
20120504,True Move,0,1,0,3,1,0,0,0
20120504,TransAsia Telecoms,0,0,0,1,0,0,0,0
20120504,Total Access Communication,0,5,0,13,5,0,0,0
20120504,Tikiphone,0,0,0,1,0,0,0,0
20120504,Tess,0,7,0,18,7,0,0,0
20120504,Telus Mobility,0,14,0,63,13,0,0,0
20120504,Telstra,1,27,1,47,26,0,0,0
20120504,Telsim GSM,1,8,0,22,8,0,0,0
20120504,Telkomsel,0,7,0,20,7,0,0,0
20120504,Telia Sonera AB,0,16,0,46,16,0,0,0
20120504,Telia,0,4,0,13,4,0,0,0
20120504,Telesur,0,0,0,1,0,0,0,0
20120504,Telestet,0,1,0,3,1,0,0,0
20120504,Telest Cel,0,0,0,5,0,0,0,0
20120504,Telenor d.o.o.,0,4,0,16,4,1,1,0
20120504,Telenor Sverige AB,0,8,0,17,8,0,0,0
20120504,Telenor Mobil AS,0,6,0,23,6,0,0,0
20120504,Telems Cel,0,8,0,25,8,0,0,0
20120504,Telekom Srbija a.d.,0,3,0,8,3,0,0,0
20120504,Telekom,0,20,0,73,20,2,2,0
20120504,Telefónica O2 Czech Republic a.s.,0,5,0,14,4,0,0,0
20120504,Telefónica Móviles Colombia S.A.,0,0,0,7,0,0,0,0
20120504,Telefónica Móvil,0,3,0,7,3,0,0,0
20120504,"Telecomunicaciones Movilnet, C.A.",0,2,0,3,2,0,0,0
20120504,Telecom Personal S.A.,0,1,0,4,1,0,0,0
20120504,Telecom New Zealand - UMTS Ntework,0,2,0,8,2,0,0,0
20120504,Telecom Italia Mobile (TIM),2,22,2,66,21,1,1,0
20120504,Telecel,0,2,0,2,2,0,0,0
20120504,Teleacre Cel,1,5,1,21,4,0,0,0
20120504,Tele2/Tele2 d.o.o.,0,2,0,8,2,0,0,0
20120504,Tele2 Sverige AB,0,19,0,39,19,0,0,0
20120504,Tele2 (Netherlands) B.V.,0,0,0,3,0,0,0,0
20120504,Tele2,0,3,0,11,3,0,0,0
20120504,Tele Greenland,0,0,0,1,0,0,0,0
20120504,"Telcel, C.A.",0,2,0,4,2,0,0,0
20120504,Tango,0,0,0,1,0,0,0,0
20120504,Tal hf,0,1,0,1,1,0,0,0
20120504,Taiwan Mobile Co. Ltd,0,9,0,14,9,1,1,0
20120504,TSC Kazak Telecom,0,2,0,2,2,0,0,0
20120504,"TMN - Telecomunicações Móveis Nacionais, S.A.",0,8,0,12,8,0,0,0
20120504,TELCEL,0,21,0,66,21,0,0,0
20120504,TDC Switzerland AG,0,5,0,10,5,0,0,0
20120504,TDC Mobil,0,5,0,10,5,0,0,0
20120504,T-Mobile - US,1,185,1,537,179,1,1,0
20120504,T-Mobile - SK,0,4,0,7,4,1,1,0
20120504,T-Mobile - PL,0,8,0,25,8,0,0,0
20120504,T-Mobile - NL,0,17,0,35,17,0,0,0
20120504,T-Mobile - MK,0,1,0,3,1,0,0,0
20120504,T-Mobile - HU,0,8,0,27,8,0,0,0
20120504,T-Mobile - HR,0,2,0,4,2,0,0,0
20120504,T-Mobile - CZ,0,2,0,12,2,0,0,0
20120504,T-Mobile - AT,0,7,0,19,7,1,1,0
20120504,T-Mobile,1,30,1,91,29,0,0,0
20120504,Sterling Cellular Ltd.,0,3,0,14,3,0,0,0
20120504,Starhub,1,6,1,25,6,2,2,0
20120504,Sprint,4,206,4,711,197,3,3,0
20120504,Spice Communications Ltd.,0,1,0,3,1,0,0,0
20120504,Sonofon,0,1,0,5,1,0,0,0
20120504,Sonera Carrier Networks Oy,0,3,0,10,3,0,0,0
20120504,SoftBank,0,5,0,11,5,0,0,0
20120504,Société Réunionnaise du Radiotéléphone,0,1,0,1,1,0,0,0
20120504,Smart Communications,0,2,0,13,2,0,0,0
20120504,Singtel,1,11,1,50,11,0,0,0
20120504,Sea Mobile,0,3,0,14,3,0,0,0
20120504,Saunalahti Group Ltd.,0,9,0,14,9,0,0,0
20120504,Saudi Telecom,0,8,0,21,8,0,0,0
20120504,Satelindo,0,2,0,7,2,0,0,0
20120504,Safaricom Ltd.,0,0,0,1,0,0,0,0
20120504,SK Telecom,0,11,0,44,11,0,0,0
20120504,SI Mobil,0,1,0,5,1,0,0,0
20120504,SFR,2,45,1,108,43,0,0,0
20120504,Rogers Wireless,1,35,1,87,35,2,2,0
20120504,Reliance Telecom Private Ltd.,0,1,0,1,1,0,0,0
20120504,Reliable Internet Services Ltd.,0,0,0,1,0,0,0,0
20120504,RLE,0,0,0,3,0,0,0,0
20120504,QATARNET,0,2,0,4,2,0,0,0
